"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"1","mousexp3_gavage1_A10",NA,"A",10,"MouseExp3","Proximal","m4","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S10",3068169,633877,7785476
"2","mousexp3_gavage1_A11",NA,"A",11,"MouseExp3","Mid","m4","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S11",1455460,434293,3127449
"3","mousexp3_gavage1_A12",NA,"A",12,"MouseExp3","Distal","m4","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S12",6823,2368,8043
"4","mousexp3_gavage1_A1",NA,"A",1,"MouseExp3","Proximal","m1","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S1",3315573,693307,5833088
"5","mousexp3_gavage1_A2",NA,"A",2,"MouseExp3","Mid","m1","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S2",10138578,8802612,32920888
"6","mousexp3_gavage1_A3",NA,"A",3,"MouseExp3","Distal","m1","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S3",6699471,6108110,16956136
"7","mousexp3_gavage1_A4",NA,"A",4,"MouseExp3","Proximal","m2","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S4",3001434,181294,8803118
"8","mousexp3_gavage1_A5",NA,"A",5,"MouseExp3","Mid","m2","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S5",5008320,2842073,14132873
"9","mousexp3_gavage1_A6",NA,"A",6,"MouseExp3","Distal","m2","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S6",10414688,9923166,32728167
"10","mousexp3_gavage1_A7",NA,"A",7,"MouseExp3","Proximal","m3","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S7",3002162,584886,7382016
"11","mousexp3_gavage1_A8",NA,"A",8,"MouseExp3","Mid","m3","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S8",5048825,3609903,15572017
"12","mousexp3_gavage1_A9",NA,"A",9,"MouseExp3","Distal","m3","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S9",8661409,8335401,36013754
