Well,Meda_Plate,pH,Buffer,Inoculum
A1,BHI,6,0,1062
A2,BHI,6,0,1062
A3,BHI,6,0,1062
A4,BHI,6,0,1063
A5,BHI,6,0,1063
A6,BHI,6,0,1063
A7,BHI,6,0,1064
A8,BHI,6,0,1064
A9,BHI,6,0,1064
A10,BHI,6,0,1065
A11,BHI,6,0,1065
A12,BHI,6,0,1065
B1,BHI,7,0,1062
B2,BHI,7,0,1062
B3,BHI,7,0,1062
B4,BHI,7,0,1063
B5,BHI,7,0,1063
B6,BHI,7,0,1063
B7,BHI,7,0,1064
B8,BHI,7,0,1064
B9,BHI,7,0,1064
B10,BHI,7,0,1065
B11,BHI,7,0,1065
B12,BHI,7,0,1065
C1,BHI,8,0,1062
C2,BHI,8,0,1062
C3,BHI,8,0,1062
C4,BHI,8,0,1063
C5,BHI,8,0,1063
C6,BHI,8,0,1063
C7,BHI,8,0,1064
C8,BHI,8,0,1064
C9,BHI,8,0,1064
C10,BHI,8,0,1065
C11,BHI,8,0,1065
C12,BHI,8,0,1065
D1,BHI,9,0,1062
D2,BHI,9,0,1062
D3,BHI,9,0,1062
D4,BHI,9,0,1063
D5,BHI,9,0,1063
D6,BHI,9,0,1063
D7,BHI,9,0,1064
D8,BHI,9,0,1064
D9,BHI,9,0,1064
D10,BHI,9,0,1065
D11,BHI,9,0,1065
D12,BHI,9,0,1065
E1,BHI,6,0,blank
E2,BHI,6,0,blank
E3,BHI,6,0,blank
E4,BHI,6,0,blank
E5,BHI,6,0,blank
E6,BHI,6,0,blank
E7,BHI,6,0,blank
E8,BHI,6,0,blank
E9,BHI,6,0,blank
E10,BHI,6,0,blank
E11,BHI,6,0,blank
E12,BHI,6,0,blank
F1,BHI,7,0,blank
F2,BHI,7,0,blank
F3,BHI,7,0,blank
F4,BHI,7,0,blank
F5,BHI,7,0,blank
F6,BHI,7,0,blank
F7,BHI,7,0,blank
F8,BHI,7,0,blank
F9,BHI,7,0,blank
F10,BHI,7,0,blank
F11,BHI,7,0,blank
F12,BHI,7,0,blank
G1,BHI,8,0,blank
G2,BHI,8,0,blank
G3,BHI,8,0,blank
G4,BHI,8,0,blank
G5,BHI,8,0,blank
G6,BHI,8,0,blank
G7,BHI,8,0,blank
G8,BHI,8,0,blank
G9,BHI,8,0,blank
G10,BHI,8,0,blank
G11,BHI,8,0,blank
G12,BHI,8,0,blank
H1,BHI,9,0,blank
H2,BHI,9,0,blank
H3,BHI,9,0,blank
H4,BHI,9,0,blank
H5,BHI,9,0,blank
H6,BHI,9,0,blank
H7,BHI,9,0,blank
H8,BHI,9,0,blank
H9,BHI,9,0,blank
H10,BHI,9,0,blank
H11,BHI,9,0,blank
H12,BHI,9,0,blank
