Well,Meda_Plate,pH,Buffer,Inoculum
A1,mp1,6,0,2522
A2,mp1,6,0,2522
A3,mp1,6,0,2522
A4,mp1,6,0,2524
A5,mp1,6,0,2524
A6,mp1,6,0,2524
A7,mp1,6,0,2525
A8,mp1,6,0,2525
A9,mp1,6,0,2525
A10,mp1,6,0,0
A11,mp1,6,0,0
A12,mp1,6,0,0
B1,mp1,7,0,2522
B2,mp1,7,0,2522
B3,mp1,7,0,2522
B4,mp1,7,0,2524
B5,mp1,7,0,2524
B6,mp1,7,0,2524
B7,mp1,7,0,2525
B8,mp1,7,0,2525
B9,mp1,7,0,2525
B10,mp1,7,0,0
B11,mp1,7,0,0
B12,mp1,7,0,0
C1,mp1,8,0,2522
C2,mp1,8,0,2522
C3,mp1,8,0,2522
C4,mp1,8,0,2524
C5,mp1,8,0,2524
C6,mp1,8,0,2524
C7,mp1,8,0,2525
C8,mp1,8,0,2525
C9,mp1,8,0,2525
C10,mp1,8,0,0
C11,mp1,8,0,0
C12,mp1,8,0,0
D1,mp1,9,0,2522
D2,mp1,9,0,2522
D3,mp1,9,0,2522
D4,mp1,9,0,2524
D5,mp1,9,0,2524
D6,mp1,9,0,2524
D7,mp1,9,0,2525
D8,mp1,9,0,2525
D9,mp1,9,0,2525
D10,mp1,9,0,0
D11,mp1,9,0,0
D12,mp1,9,0,0
E1,mp1,5.5,50,2522
E2,mp1,5.5,50,2522
E3,mp1,5.5,50,2522
E4,mp1,5.5,50,2524
E5,mp1,5.5,50,2524
E6,mp1,5.5,50,2524
E7,mp1,5.5,50,2525
E8,mp1,5.5,50,2525
E9,mp1,5.5,50,2525
E10,mp1,5.5,50,0
E11,mp1,5.5,50,0
E12,mp1,5.5,50,0
F1,mp1,6,50,2522
F2,mp1,6,50,2522
F3,mp1,6,50,2522
F4,mp1,6,50,2524
F5,mp1,6,50,2524
F6,mp1,6,50,2524
F7,mp1,6,50,2525
F8,mp1,6,50,2525
F9,mp1,6,50,2525
F10,mp1,6,50,0
F11,mp1,6,50,0
F12,mp1,6,50,0
G1,mp1,6.5,50,2522
G2,mp1,6.5,50,2522
G3,mp1,6.5,50,2522
G4,mp1,6.5,50,2524
G5,mp1,6.5,50,2524
G6,mp1,6.5,50,2524
G7,mp1,6.5,50,2525
G8,mp1,6.5,50,2525
G9,mp1,6.5,50,2525
G10,mp1,6.5,50,0
G11,mp1,6.5,50,0
G12,mp1,6.5,50,0
H1,mp1,6.5,50,2522
H2,mp1,6.5,50,2522
H3,mp1,6.5,50,2522
H4,mp1,6.5,50,2524
H5,mp1,6.5,50,2524
H6,mp1,6.5,50,2524
H7,mp1,6.5,50,2525
H8,mp1,6.5,50,2525
H9,mp1,6.5,50,2525
H10,mp1,6.5,50,0
H11,mp1,6.5,50,0
H12,mp1,6.5,50,0
A1,mp2,7,50,2522
A2,mp2,7,50,2522
A3,mp2,7,50,2522
A4,mp2,7,50,2524
A5,mp2,7,50,2524
A6,mp2,7,50,2524
A7,mp2,7,50,2525
A8,mp2,7,50,2525
A9,mp2,7,50,2525
A10,mp2,7,50,0
A11,mp2,7,50,0
A12,mp2,7,50,0
B1,mp2,7.5,50,2522
B2,mp2,7.5,50,2522
B3,mp2,7.5,50,2522
B4,mp2,7.5,50,2524
B5,mp2,7.5,50,2524
B6,mp2,7.5,50,2524
B7,mp2,7.5,50,2525
B8,mp2,7.5,50,2525
B9,mp2,7.5,50,2525
B10,mp2,7.5,50,0
B11,mp2,7.5,50,0
B12,mp2,7.5,50,0
C1,mp2,7.5,50,2522
C2,mp2,7.5,50,2522
C3,mp2,7.5,50,2522
C4,mp2,7.5,50,2524
C5,mp2,7.5,50,2524
C6,mp2,7.5,50,2524
C7,mp2,7.5,50,2525
C8,mp2,7.5,50,2525
C9,mp2,7.5,50,2525
C10,mp2,7.5,50,0
C11,mp2,7.5,50,0
C12,mp2,7.5,50,0
D1,mp2,8,50,2522
D2,mp2,8,50,2522
D3,mp2,8,50,2522
D4,mp2,8,50,2524
D5,mp2,8,50,2524
D6,mp2,8,50,2524
D7,mp2,8,50,2525
D8,mp2,8,50,2525
D9,mp2,8,50,2525
D10,mp2,8,50,0
D11,mp2,8,50,0
D12,mp2,8,50,0
E1,mp2,8,50,2522
E2,mp2,8,50,2522
E3,mp2,8,50,2522
E4,mp2,8,50,2524
E5,mp2,8,50,2524
E6,mp2,8,50,2524
E7,mp2,8,50,2525
E8,mp2,8,50,2525
E9,mp2,8,50,2525
E10,mp2,8,50,0
E11,mp2,8,50,0
E12,mp2,8,50,0
F1,mp2,8.5,50,2522
F2,mp2,8.5,50,2522
F3,mp2,8.5,50,2522
F4,mp2,8.5,50,2524
F5,mp2,8.5,50,2524
F6,mp2,8.5,50,2524
F7,mp2,8.5,50,2525
F8,mp2,8.5,50,2525
F9,mp2,8.5,50,2525
F10,mp2,8.5,50,0
F11,mp2,8.5,50,0
F12,mp2,8.5,50,0
G1,mp2,9,50,2522
G2,mp2,9,50,2522
G3,mp2,9,50,2522
G4,mp2,9,50,2524
G5,mp2,9,50,2524
G6,mp2,9,50,2524
G7,mp2,9,50,2525
G8,mp2,9,50,2525
G9,mp2,9,50,2525
G10,mp2,9,50,0
G11,mp2,9,50,0
G12,mp2,9,50,0
H1,blank,,,
H2,blank,,,
H3,blank,,,
H4,blank,,,
H5,blank,,,
H6,blank,,,
H7,blank,,,
H8,blank,,,
H9,blank,,,
H10,blank,,,
H11,blank,,,
H12,blank,,,
