Family,Genus,Species,Species_name,colors
Coriobacteriaceae,Collinsella,aerofaciens,Collinsella aerofaciens,#141414
Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium sp,#4F7BB0
Bacteroidaceae,Bacteroides,NA,Bacteroides sp,#FF931F
Bacteroidaceae,Bacteroides,vulgatus,Bacteroides vulgatus,#FFA849
Bacteroidaceae,Bacteroides,uniformis,Bacteroides uniformis,#FFBA70
Bacteroidaceae,Bacteroides,salyersiae,Bacteroides salyersiae,#FFCE99
Rikenellaceae,Alistipes,shahii,Alistipes shahii,#E7298A
Tannerellaceae,Parabacteroides,distasonis,Parabacteroides distasonis,#5E9CE8
Tannerellaceae,Parabacteroides,merdae,Parabacteroides merdae,#9ec3f1
Acidaminococcaceae,Phascolarctobacterium,faecium,Phascolarctobacterium faecium,#eb93ee
Acidaminococcaceae,Phascolarctobacterium,NA,Phascolarctobacterium sp,#eb93ee
Enterococcaceae,Enterococcus,NA,Enterococcus sp,#AA672B
Enterococcaceae,Enterococcus,faecium,Enterococcus faecium,#AA672B
Lachnospiraceae,Blautia,faecis,Blautia faecis,#558A19
Lachnospiraceae,Lachnoclostridium,NA,Lachnoclostridium sp,#66A61E
Lachnospiraceae,Dorea,longicatena,Dorea longicatena,#80CF26
Lachnospiraceae,Anaerostipes,hadrus,Anaerostipes hadrus,#A7E364
Lachnospiraceae,Dorea,NA,Dorea sp,#80CF26
Lactobacillaceae,Lactobacillus,NA,Lactobacillus sp,#FB9A99
Lactobacillaceae,Lactobacillus,rhamnosus,Lactobacillus rhamnosus,#FB9A99
Streptococcaceae,Lactococcus,NA,Lactococcus sp,#6B93D4
Burkholderiaceae,Parasutterella,excrementihominis,Parasutterella excrementihominis,#B1B1B1
Burkholderiaceae,Parasutterella,NA,Parasutterella sp,#B1B1B1
Burkholderiaceae,Sutterella,wadsworthensis,Sutterella wadsworthensis,#D6D6D6
Desulfovibrionaceae,Bilophila,wadsworthia,Bilophila wadsworthia,#5298A1
Enterobacteriaceae,Escherichia/Shigella,NA,Escherichia/Shigella sp,#6A3D9A
Akkermansiaceae,Akkermansia,muciniphila,Akkermansia muciniphila,#1B9E77
