"","cor","p.vals.adj","Mouse1","Mouse2","Location","Location2","Diet","Community"
"1",0.977782540076572,0,"1L","1L","Distal","Mid","SD","SICom"
"2",0.969612671470034,0,"1R","1R","Distal","Distal","SD","SICom"
"3",0.985677627357828,0,"1R","1R","Distal","Mid","SD","SICom"
"4",0.972371094178771,0,"1R","1R","Distal","Mid","SD","SICom"
"5",0.964369121393491,0,"1R","1R","Distal","Mid","SD","SICom"
"6",0.970912371160092,0,"1R","1R","Distal","Mid","SD","SICom"
"7",0.96282013613556,0,"1R","1R","Distal","Proximal","SD","SICom"
"8",0.956593147469704,0,"1R","1R","Distal","Proximal","SD","SICom"
"9",0.971251577962068,0,"1R","1R","Distal","Proximal","SD","SICom"
"10",0.98526564316785,0,"1R","1R","Distal","Proximal","SD","SICom"
"11",0.847299216997056,0,"2L","2L","Distal","Mid","SD","SICom"
"12",0.880210712428343,0,"2L","2L","Distal","Proximal","SD","SICom"
"13",0.867325027530586,0,"B","B","Distal","Mid","SD","SICom"
"14",0.932848844382664,0,"B","B","Distal","Proximal","SD","SICom"
"15",0.779016293433854,0,"1L","1L","Distal","Distal","SD","SICom->StoolCom-mouse"
"16",0.863555051449103,0,"1L","1L","Distal","Mid","SD","SICom->StoolCom-mouse"
"17",0.673586015870444,0,"1L","1L","Distal","Mid","SD","SICom->StoolCom-mouse"
"18",0.791946176315505,0,"1L","1L","Distal","Mid","SD","SICom->StoolCom-mouse"
"19",0.78446938262802,0,"1L","1L","Distal","Mid","SD","SICom->StoolCom-mouse"
"20",0.73471195480537,0,"1L","1L","Distal","Proximal","SD","SICom->StoolCom-mouse"
"21",0.704877186362115,0,"1L","1L","Distal","Proximal","SD","SICom->StoolCom-mouse"
"22",0.811405151779751,0,"1L","1L","Distal","Proximal","SD","SICom->StoolCom-mouse"
"23",0.650834573485653,0,"1L","1L","Distal","Proximal","SD","SICom->StoolCom-mouse"
"24",0.895670521037436,0,"1R","1R","Distal","Mid","SD","SICom->StoolCom-mouse"
"25",0.897904682909134,0,"1R","1R","Distal","Proximal","SD","SICom->StoolCom-mouse"
"26",0.957149816679656,0,"2R","2R","Distal","Mid","SD","SICom->StoolCom-mouse"
"27",0.922046620463871,0,"2R","2R","Distal","Proximal","SD","SICom->StoolCom-mouse"
"28",0.865319785397752,0,"B","B","Distal","Mid","SD","SICom->StoolCom-mouse"
"29",0.831464203640434,0,"B","B","Distal","Proximal","SD","SICom->StoolCom-mouse"
"30",0.85591734071409,0,"1L","1L","Distal","Mid","SD","StoolCom"
"31",0.913479118804523,0,"1L","1L","Distal","Proximal","SD","StoolCom"
"32",0.83084656957457,0,"2L.1RA","2L.1RA","Distal","Mid","SD","StoolCom"
"33",0.775952063966406,0,"2L.1RA","2L.1RA","Distal","Proximal","SD","StoolCom"
"34",0.875013106071066,0,"2L.1RB","2L.1RB","Distal","Mid","SD","StoolCom"
"35",0.921816648330902,0,"2L.1RB","2L.1RB","Distal","Proximal","SD","StoolCom"
"36",0.949089405635992,0,"B","B","Distal","Mid","SD","StoolCom"
"37",0.935250040672727,0,"B","B","Distal","Proximal","SD","StoolCom"
"38",0.686263037364916,0,"1L","1L","Distal","Distal","SD","StoolCom ->SICom-mouse"
"39",0.549639757920264,3.41353700861191e-09,"1L","1L","Distal","Mid","SD","StoolCom ->SICom-mouse"
"40",0.792231827448147,0,"1L","1L","Distal","Mid","SD","StoolCom ->SICom-mouse"
"41",0.517573957970275,1.05646176695728e-07,"1L","1L","Distal","Mid","SD","StoolCom ->SICom-mouse"
"42",0.914046609485035,0,"1L","1L","Distal","Mid","SD","StoolCom ->SICom-mouse"
"43",0.580250864084367,8.96589469334685e-11,"1L","1L","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"44",0.761960888191105,0,"1L","1L","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"45",0.513755694575051,1.55295793113908e-07,"1L","1L","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"46",0.866635514546173,0,"1L","1L","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"47",0.807579222983229,0,"1R","1R","Distal","Mid","SD","StoolCom ->SICom-mouse"
"48",0.770465571755453,0,"1R","1R","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"49",0.913861097578544,0,"2R","2R","Distal","Mid","SD","StoolCom ->SICom-mouse"
"50",0.863702226344978,0,"2R","2R","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"51",0.760698531162903,0,"B","B","Distal","Mid","SD","StoolCom ->SICom-mouse"
"52",0.817049177548875,0,"B","B","Distal","Proximal","SD","StoolCom ->SICom-mouse"
"53",0.986368240750312,0,"1R","1R","Mid","Mid","SD","SICom"
"54",0.953489014492527,0,"1R","1R","Mid","Proximal","SD","SICom"
"55",0.944267102766619,0,"1R","1R","Mid","Proximal","SD","SICom"
"56",0.971701383109496,0,"1R","1R","Mid","Proximal","SD","SICom"
"57",0.976811916507604,0,"1R","1R","Mid","Proximal","SD","SICom"
"58",0.987165071025995,0,"2L","2L","Mid","Proximal","SD","SICom"
"59",0.929624920670126,0,"B","B","Mid","Proximal","SD","SICom"
"60",0.74664570481126,0,"1L","1L","Mid","Mid","SD","SICom->StoolCom-mouse"
"61",0.734098255023293,0,"1L","1L","Mid","Proximal","SD","SICom->StoolCom-mouse"
"62",0.722448969831488,0,"1L","1L","Mid","Proximal","SD","SICom->StoolCom-mouse"
"63",0.74698417267838,0,"1L","1L","Mid","Proximal","SD","SICom->StoolCom-mouse"
