"","pfam"
"1","3Beta_HSD"
"2","7tm_1"
"3","ANAPC5"
"4","BTB"
"5","DUF1127"
"6","DUF2387"
"7","DUF2559"
"8","DUF2766"
"9","DUF3114"
"10","DUF3139"
"11","DUF3311"
"12","DUF348"
"13","DUF3687"
"14","GLTT"
"15","Gag_MA"
"16","Gag_p12"
"17","HSR"
"18","I-set"
"19","Inos-1-P_synth"
"20","Ldr_toxin"
"21","MHC_I"
"22","MarB"
"23","Mito_carr"
"24","NAD-GH"
"25","Pep_M12B_propep"
"26","PilI"
"27","PspB"
"28","Receptor_2B4"
"29","Ribosomal_60s"
"30","Ribosomal_S22"
"31","Spin-Ssty"
"32","Tafi-CsgC"
"33","TisB_toxin"
"34","UQ_con"
"35","V-set"
"36","YbjM"
"37","ubiquitin"
"38","zf-CCHC_5"
"39","zf-H3C2"
"40","zinc-ribbons_6"
