"","pfam","mouse_count"
"1","3Beta_HSD",4
"2","7tm_1",4
"3","ANAPC5",4
"4","BTB",4
"5","DUF1127",4
"6","DUF2387",4
"7","DUF2559",4
"8","DUF2766",4
"9","DUF3114",4
"10","DUF3139",4
"11","DUF3311",4
"12","DUF348",4
"13","DUF3687",4
"14","GLTT",4
"15","Gag_MA",4
"16","Gag_p12",4
"17","HSR",4
"18","I-set",4
"19","Inos-1-P_synth",4
"20","Ldr_toxin",4
"21","MHC_I",4
"22","MarB",4
"23","Mito_carr",4
"24","NAD-GH",4
"25","Pep_M12B_propep",4
"26","PilI",4
"27","PspB",4
"28","Receptor_2B4",4
"29","Ribosomal_60s",4
"30","Ribosomal_S22",4
"31","Spin-Ssty",4
"32","Tafi-CsgC",4
"33","TisB_toxin",4
"34","UQ_con",4
"35","V-set",4
"36","YbjM",4
"37","ubiquitin",4
"38","zf-CCHC_5",4
"39","zf-H3C2",4
"40","zinc-ribbons_6",4
