"","SeqName","Project","SampleType","Mouse","Day","Community","MouseType","Diet","Well","pH","Location","finalDaySamples","Buffer","Replicate","Inoculum","names","Condition","mouse_location","mouse_sampleType"
"4_B_10_c2m5_d4_p1_B10_S310","4_B_10_c2m5_d4_p1_B10_S310","c2m5","","","d4","","","","p1_B10","5",NA,0,NA,NA,1065,"","5_1065","_NA___","____"
"4_B_11_c2m5_d4_p1_B11_S311","4_B_11_c2m5_d4_p1_B11_S311","c2m5","","","d4","","","","p1_B11","5",NA,0,NA,NA,1065,"","5_1065","_NA___","____"
"4_B_12_c2m5_d4_p1_B12_S312","4_B_12_c2m5_d4_p1_B12_S312","c2m5","","","d4","","","","p1_B12","5",NA,0,NA,NA,1065,"","5_1065","_NA___","____"
"4_B_3_c2m5_d4_p1_B3_S303","4_B_3_c2m5_d4_p1_B3_S303","c2m5","","","d4","","","","p1_B3","5",NA,0,NA,NA,1062,"","5_1062","_NA___","____"
"4_B_8_c2m5_d4_p1_B8_S308","4_B_8_c2m5_d4_p1_B8_S308","c2m5","","","d4","","","","p1_B8","5",NA,0,NA,NA,1064,"","5_1064","_NA___","____"
"4_B_9_c2m5_d4_p1_B9_S309","4_B_9_c2m5_d4_p1_B9_S309","c2m5","","","d4","","","","p1_B9","5",NA,0,NA,NA,1064,"","5_1064","_NA___","____"
"4_C_1_c2m5_d4_p1_C1_S313","4_C_1_c2m5_d4_p1_C1_S313","c2m5","","","d4","","","","p1_C1","6",NA,0,NA,NA,1062,"","6_1062","_NA___","____"
"4_C_10_c2m5_d4_p1_C10_S322","4_C_10_c2m5_d4_p1_C10_S322","c2m5","","","d4","","","","p1_C10","6",NA,0,NA,NA,1065,"","6_1065","_NA___","____"
"4_C_11_c2m5_d4_p1_C11_S323","4_C_11_c2m5_d4_p1_C11_S323","c2m5","","","d4","","","","p1_C11","6",NA,0,NA,NA,1065,"","6_1065","_NA___","____"
"4_C_12_c2m5_d4_p1_C12_S324","4_C_12_c2m5_d4_p1_C12_S324","c2m5","","","d4","","","","p1_C12","6",NA,0,NA,NA,1065,"","6_1065","_NA___","____"
"4_C_2_c2m5_d4_p1_C2_S314","4_C_2_c2m5_d4_p1_C2_S314","c2m5","","","d4","","","","p1_C2","6",NA,0,NA,NA,1062,"","6_1062","_NA___","____"
"4_C_3_c2m5_d4_p1_C3_S315","4_C_3_c2m5_d4_p1_C3_S315","c2m5","","","d4","","","","p1_C3","6",NA,0,NA,NA,1062,"","6_1062","_NA___","____"
"4_C_7_c2m5_d4_p1_C7_S319","4_C_7_c2m5_d4_p1_C7_S319","c2m5","","","d4","","","","p1_C7","6",NA,0,NA,NA,1064,"","6_1064","_NA___","____"
"4_C_8_c2m5_d4_p1_C8_S320","4_C_8_c2m5_d4_p1_C8_S320","c2m5","","","d4","","","","p1_C8","6",NA,0,NA,NA,1064,"","6_1064","_NA___","____"
"4_C_9_c2m5_d4_p1_C9_S321","4_C_9_c2m5_d4_p1_C9_S321","c2m5","","","d4","","","","p1_C9","6",NA,0,NA,NA,1064,"","6_1064","_NA___","____"
"4_D_1_c2m5_d4_p1_D1_S325","4_D_1_c2m5_d4_p1_D1_S325","c2m5","","","d4","","","","p1_D1","7",NA,0,NA,NA,1062,"","7_1062","_NA___","____"
"4_D_10_c2m5_d4_p1_D10_S334","4_D_10_c2m5_d4_p1_D10_S334","c2m5","","","d4","","","","p1_D10","7",NA,0,NA,NA,1065,"","7_1065","_NA___","____"
"4_D_11_c2m5_d4_p1_D11_S335","4_D_11_c2m5_d4_p1_D11_S335","c2m5","","","d4","","","","p1_D11","7",NA,0,NA,NA,1065,"","7_1065","_NA___","____"
"4_D_12_c2m5_d4_p1_D12_S336","4_D_12_c2m5_d4_p1_D12_S336","c2m5","","","d4","","","","p1_D12","7",NA,0,NA,NA,1065,"","7_1065","_NA___","____"
"4_D_2_c2m5_d4_p1_D2_S326","4_D_2_c2m5_d4_p1_D2_S326","c2m5","","","d4","","","","p1_D2","7",NA,0,NA,NA,1062,"","7_1062","_NA___","____"
"4_D_3_c2m5_d4_p1_D3_S327","4_D_3_c2m5_d4_p1_D3_S327","c2m5","","","d4","","","","p1_D3","7",NA,0,NA,NA,1062,"","7_1062","_NA___","____"
"4_D_7_c2m5_d4_p1_D7_S331","4_D_7_c2m5_d4_p1_D7_S331","c2m5","","","d4","","","","p1_D7","7",NA,0,NA,NA,1064,"","7_1064","_NA___","____"
"4_D_8_c2m5_d4_p1_D8_S332","4_D_8_c2m5_d4_p1_D8_S332","c2m5","","","d4","","","","p1_D8","7",NA,0,NA,NA,1064,"","7_1064","_NA___","____"
"4_D_9_c2m5_d4_p1_D9_S333","4_D_9_c2m5_d4_p1_D9_S333","c2m5","","","d4","","","","p1_D9","7",NA,0,NA,NA,1064,"","7_1064","_NA___","____"
"4_E_1_c2m5_d4_p1_E1_S337","4_E_1_c2m5_d4_p1_E1_S337","c2m5","","","d4","","","","p1_E1","8",NA,0,NA,NA,1062,"","8_1062","_NA___","____"
"4_E_10_c2m5_d4_p1_E10_S346","4_E_10_c2m5_d4_p1_E10_S346","c2m5","","","d4","","","","p1_E10","8",NA,0,NA,NA,1065,"","8_1065","_NA___","____"
"4_E_11_c2m5_d4_p1_E11_S347","4_E_11_c2m5_d4_p1_E11_S347","c2m5","","","d4","","","","p1_E11","8",NA,0,NA,NA,1065,"","8_1065","_NA___","____"
"4_E_12_c2m5_d4_p1_E12_S348","4_E_12_c2m5_d4_p1_E12_S348","c2m5","","","d4","","","","p1_E12","8",NA,0,NA,NA,1065,"","8_1065","_NA___","____"
"4_E_2_c2m5_d4_p1_E2_S338","4_E_2_c2m5_d4_p1_E2_S338","c2m5","","","d4","","","","p1_E2","8",NA,0,NA,NA,1062,"","8_1062","_NA___","____"
"4_E_3_c2m5_d4_p1_E3_S339","4_E_3_c2m5_d4_p1_E3_S339","c2m5","","","d4","","","","p1_E3","8",NA,0,NA,NA,1062,"","8_1062","_NA___","____"
"4_E_7_c2m5_d4_p1_E7_S343","4_E_7_c2m5_d4_p1_E7_S343","c2m5","","","d4","","","","p1_E7","8",NA,0,NA,NA,1064,"","8_1064","_NA___","____"
"4_E_8_c2m5_d4_p1_E8_S344","4_E_8_c2m5_d4_p1_E8_S344","c2m5","","","d4","","","","p1_E8","8",NA,0,NA,NA,1064,"","8_1064","_NA___","____"
"4_E_9_c2m5_d4_p1_E9_S345","4_E_9_c2m5_d4_p1_E9_S345","c2m5","","","d4","","","","p1_E9","8",NA,0,NA,NA,1064,"","8_1064","_NA___","____"
"4_F_1_c2m5_d4_p1_F1_S349","4_F_1_c2m5_d4_p1_F1_S349","c2m5","","","d4","","","","p1_F1","9",NA,0,NA,NA,1062,"","9_1062","_NA___","____"
"4_F_10_c2m5_d4_p1_F10_S358","4_F_10_c2m5_d4_p1_F10_S358","c2m5","","","d4","","","","p1_F10","9",NA,0,NA,NA,1065,"","9_1065","_NA___","____"
"4_F_11_c2m5_d4_p1_F11_S359","4_F_11_c2m5_d4_p1_F11_S359","c2m5","","","d4","","","","p1_F11","9",NA,0,NA,NA,1065,"","9_1065","_NA___","____"
"4_F_12_c2m5_d4_p1_F12_S360","4_F_12_c2m5_d4_p1_F12_S360","c2m5","","","d4","","","","p1_F12","9",NA,0,NA,NA,1065,"","9_1065","_NA___","____"
"4_F_2_c2m5_d4_p1_F2_S350","4_F_2_c2m5_d4_p1_F2_S350","c2m5","","","d4","","","","p1_F2","9",NA,0,NA,NA,1062,"","9_1062","_NA___","____"
"4_F_3_c2m5_d4_p1_F3_S351","4_F_3_c2m5_d4_p1_F3_S351","c2m5","","","d4","","","","p1_F3","9",NA,0,NA,NA,1062,"","9_1062","_NA___","____"
"4_F_7_c2m5_d4_p1_F7_S355","4_F_7_c2m5_d4_p1_F7_S355","c2m5","","","d4","","","","p1_F7","9",NA,0,NA,NA,1064,"","9_1064","_NA___","____"
"4_F_8_c2m5_d4_p1_F8_S356","4_F_8_c2m5_d4_p1_F8_S356","c2m5","","","d4","","","","p1_F8","9",NA,0,NA,NA,1064,"","9_1064","_NA___","____"
"4_F_9_c2m5_d4_p1_F9_S357","4_F_9_c2m5_d4_p1_F9_S357","c2m5","","","d4","","","","p1_F9","9",NA,0,NA,NA,1064,"","9_1064","_NA___","____"
"4_G_1_c2m5_d4_p1_G1_S361","4_G_1_c2m5_d4_p1_G1_S361","c2m5","","","d4","","","","p1_G1","10",NA,0,NA,NA,1062,"","10_1062","_NA___","____"
"4_G_10_c2m5_d4_p1_G10_S370","4_G_10_c2m5_d4_p1_G10_S370","c2m5","","","d4","","","","p1_G10","10",NA,0,NA,NA,1065,"","10_1065","_NA___","____"
"4_G_11_c2m5_d4_p1_G11_S371","4_G_11_c2m5_d4_p1_G11_S371","c2m5","","","d4","","","","p1_G11","10",NA,0,NA,NA,1065,"","10_1065","_NA___","____"
"4_G_12_c2m5_d4_p1_G12_S372","4_G_12_c2m5_d4_p1_G12_S372","c2m5","","","d4","","","","p1_G12","10",NA,0,NA,NA,1065,"","10_1065","_NA___","____"
"4_G_2_c2m5_d4_p1_G2_S362","4_G_2_c2m5_d4_p1_G2_S362","c2m5","","","d4","","","","p1_G2","10",NA,0,NA,NA,1062,"","10_1062","_NA___","____"
"4_G_3_c2m5_d4_p1_G3_S363","4_G_3_c2m5_d4_p1_G3_S363","c2m5","","","d4","","","","p1_G3","10",NA,0,NA,NA,1062,"","10_1062","_NA___","____"
"4_G_7_c2m5_d4_p1_G7_S367","4_G_7_c2m5_d4_p1_G7_S367","c2m5","","","d4","","","","p1_G7","10",NA,0,NA,NA,1064,"","10_1064","_NA___","____"
"4_G_8_c2m5_d4_p1_G8_S368","4_G_8_c2m5_d4_p1_G8_S368","c2m5","","","d4","","","","p1_G8","10",NA,0,NA,NA,1064,"","10_1064","_NA___","____"
"4_G_9_c2m5_d4_p1_G9_S369","4_G_9_c2m5_d4_p1_G9_S369","c2m5","","","d4","","","","p1_G9","10",NA,0,NA,NA,1064,"","10_1064","_NA___","____"
"5_A_10_c2m5_d6_p1_A10_S394","5_A_10_c2m5_d6_p1_A10_S394","c2m5","","","d6","","","","p1_A10","4",NA,0,NA,NA,1065,"","4_1065","_NA___","____"
"5_A_11_c2m5_d6_p1_A11_S395","5_A_11_c2m5_d6_p1_A11_S395","c2m5","","","d6","","","","p1_A11","4",NA,0,NA,NA,1065,"","4_1065","_NA___","____"
"5_A_2_c2m5_d6_p1_A2_S386","5_A_2_c2m5_d6_p1_A2_S386","c2m5","","","d6","","","","p1_A2","4",NA,0,NA,NA,1062,"","4_1062","_NA___","____"
"5_A_3_c2m5_d6_p1_A3_S387","5_A_3_c2m5_d6_p1_A3_S387","c2m5","","","d6","","","","p1_A3","4",NA,0,NA,NA,1062,"","4_1062","_NA___","____"
"5_A_7_c2m5_d6_p1_A7_S391","5_A_7_c2m5_d6_p1_A7_S391","c2m5","","","d6","","","","p1_A7","4",NA,0,NA,NA,1064,"","4_1064","_NA___","____"
